antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'赵兴', '唱'})","frozenset({'孙云', '正末'})",0.000131850744956709,0.000131850744956709,0.000131850744956709,1.0,7584.333333333333,1.0,0.00013183336033776338,inf,1.0,1.0,1.0,1.0
"frozenset({'赵兴', '正末'})","frozenset({'唱', '孙云'})",0.000131850744956709,0.000131850744956709,0.000131850744956709,1.0,7584.333333333333,1.0,0.00013183336033776338,inf,1.0,1.0,1.0,1.0
"frozenset({'唱', '孙云'})","frozenset({'赵兴', '正末'})",0.000131850744956709,0.000131850744956709,0.000131850744956709,1.0,7584.333333333333,1.0,0.00013183336033776338,inf,1.0,1.0,1.0,1.0
"frozenset({'孙云', '正末'})","frozenset({'赵兴', '唱'})",0.000131850744956709,0.000131850744956709,0.000131850744956709,1.0,7584.333333333333,1.0,0.00013183336033776338,inf,1.0,1.0,1.0,1.0
frozenset({'周'}),frozenset({'公家'}),0.000131850744956709,0.000131850744956709,0.000131850744956709,1.0,7584.333333333333,1.0,0.00013183336033776338,inf,1.0,1.0,1.0,1.0
frozenset({'公家'}),frozenset({'周'}),0.000131850744956709,0.000131850744956709,0.000131850744956709,1.0,7584.333333333333,1.0,0.00013183336033776338,inf,1.0,1.0,1.0,1.0
frozenset({'赵兴'}),frozenset({'孙云'}),0.0001538258691161605,0.0001538258691161605,0.0001538258691161605,1.0,6500.857142857143,1.0,0.00015380220671815117,inf,1.0,1.0,1.0,1.0
frozenset({'孙云'}),frozenset({'赵兴'}),0.0001538258691161605,0.0001538258691161605,0.0001538258691161605,1.0,6500.857142857143,1.0,0.00015380220671815117,inf,1.0,1.0,1.0,1.0
"frozenset({'赵兴', '唱', '正末'})",frozenset({'孙云'}),0.000131850744956709,0.0001538258691161605,0.000131850744956709,1.0,6500.857142857143,1.0,0.00013183046290127242,inf,0.9999780219780219,0.8571428571428573,1.0,0.9285714285714286
"frozenset({'唱', '孙云', '正末'})",frozenset({'赵兴'}),0.000131850744956709,0.0001538258691161605,0.000131850744956709,1.0,6500.857142857143,1.0,0.00013183046290127242,inf,0.9999780219780219,0.8571428571428573,1.0,0.9285714285714286
"frozenset({'赵兴', '唱'})",frozenset({'孙云'}),0.000131850744956709,0.0001538258691161605,0.000131850744956709,1.0,6500.857142857143,1.0,0.00013183046290127242,inf,0.9999780219780219,0.8571428571428573,1.0,0.9285714285714286
"frozenset({'唱', '孙云'})",frozenset({'赵兴'}),0.000131850744956709,0.0001538258691161605,0.000131850744956709,1.0,6500.857142857143,1.0,0.00013183046290127242,inf,0.9999780219780219,0.8571428571428573,1.0,0.9285714285714286
